"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2015","591,00","600,20","603,80","590,00","749,85K","-1,42%"
"29.12.2015","599,50","582,00","599,50","578,00","729,42K","3,50%"
"28.12.2015","579,20","584,00","586,20","575,00","360,10K","-0,45%"
"25.12.2015","581,80","590,00","593,40","580,00","180,70K","-1,00%"
"24.12.2015","587,70","594,00","605,00","584,40","833,42K","-0,56%"
"23.12.2015","591,00","573,00","591,00","573,00","823,03K","3,58%"
"22.12.2015","570,60","579,00","583,10","570,50","622,33K","-0,90%"
"21.12.2015","575,80","578,50","593,50","572,30","833,24K","-0,42%"
"18.12.2015","578,20","601,00","605,00","573,00","1,57M","-4,27%"
"17.12.2015","604,00","589,10","606,20","580,50","1,37M","2,72%"
"16.12.2015","588,00","587,00","594,50","584,90","727,34K","0,51%"
"15.12.2015","585,00","571,00","592,20","568,00","1,40M","2,63%"
"14.12.2015","570,00","574,30","583,60","565,50","1,37M","-1,88%"
"11.12.2015","580,90","582,00","582,80","574,00","723,47K","-0,22%"
"10.12.2015","582,20","590,00","599,50","580,10","1,33M","-1,17%"
"09.12.2015","589,10","574,00","593,50","572,00","1,41M","3,35%"
"08.12.2015","570,00","581,00","584,70","570,00","1,30M","-1,86%"
"07.12.2015","580,80","587,00","593,20","573,40","1,23M","-0,60%"
"04.12.2015","584,30","607,00","613,70","573,40","1,69M","-3,93%"
"03.12.2015","608,20","597,00","612,50","594,80","776,01K","1,20%"
"02.12.2015","601,00","608,00","622,80","597,60","630,24K","-1,09%"
"01.12.2015","607,60","623,80","628,60","605,10","767,01K","-2,16%"
"30.11.2015","621,00","622,00","630,00","615,80","999,01K","-0,86%"
"27.11.2015","626,40","629,00","630,60","620,40","1,16M","-0,13%"
"26.11.2015","627,20","629,70","637,60","622,10","694,32K","-0,37%"
"25.11.2015","629,50","615,50","631,60","615,50","1,01M","2,84%"
"24.11.2015","612,10","636,00","636,00","607,00","1,67M","-3,61%"
"23.11.2015","635,00","628,50","641,10","617,40","843,02K","1,23%"
"20.11.2015","627,30","622,00","628,90","607,00","973,15K","1,14%"
"19.11.2015","620,20","636,00","639,80","620,00","1,22M","-1,74%"
"18.11.2015","631,20","628,70","638,70","622,00","905,53K","1,07%"
"17.11.2015","624,50","610,30","628,30","609,00","1,60M","3,04%"
"16.11.2015","606,10","594,90","611,50","592,00","860,19K","2,17%"
"13.11.2015","593,20","591,90","596,70","585,00","1,02M","0,37%"
"12.11.2015","591,00","593,30","604,00","588,60","698,86K","-0,86%"
"11.11.2015","596,10","616,50","616,70","593,30","777,94K","-3,23%"
"10.11.2015","616,00","607,00","618,40","596,60","862,29K","1,63%"
"09.11.2015","606,10","598,10","614,90","597,90","819,32K","1,34%"
"06.11.2015","598,10","597,10","605,80","594,40","778,55K","0,02%"
"05.11.2015","598,00","596,80","606,40","594,00","735,99K","1,17%"
"03.11.2015","591,10","588,00","598,40","587,50","866,94K","0,58%"
"02.11.2015","587,70","581,70","588,80","574,10","830,70K","0,58%"
"30.10.2015","584,30","585,60","589,50","579,60","603,40K","-0,38%"
"29.10.2015","586,50","601,40","602,90","584,60","951,00K","-2,46%"
"28.10.2015","601,30","614,00","617,00","598,40","916,46K","-2,05%"
"27.10.2015","613,90","598,50","614,90","590,40","541,69K","2,37%"
"26.10.2015","599,70","603,30","607,00","591,60","1,07M","-0,23%"
"23.10.2015","601,10","598,80","609,00","596,90","784,88K","0,75%"
"22.10.2015","596,60","593,80","599,70","590,80","492,72K","0,42%"
"21.10.2015","594,10","590,00","594,10","582,60","880,42K","0,78%"
"20.10.2015","589,50","599,00","600,80","583,40","934,79K","-1,55%"
"19.10.2015","598,80","597,20","599,00","589,60","732,91K","-0,10%"
"16.10.2015","599,40","606,00","607,10","594,00","817,22K","-0,91%"
"15.10.2015","604,90","602,50","607,80","601,70","1,12M","0,63%"
"14.10.2015","601,10","597,80","605,30","593,00","689,42K","0,03%"
"13.10.2015","600,90","596,50","604,00","589,70","555,88K","0,25%"
"12.10.2015","599,40","609,00","609,00","591,20","1,09M","-1,09%"
"09.10.2015","606,00","608,00","608,50","595,40","1,24M","0,07%"
"08.10.2015","605,60","604,00","606,60","592,50","1,30M","0,26%"
"07.10.2015","604,00","616,10","618,00","603,60","960,21K","-2,28%"
"06.10.2015","618,10","610,00","625,00","606,60","825,99K","1,66%"
"05.10.2015","608,00","588,00","611,90","586,70","1,14M","3,38%"
"02.10.2015","588,10","585,30","590,40","580,10","595,46K","0,05%"
"01.10.2015","587,80","598,90","603,70","581,70","579,85K","-1,54%"
"30.09.2015","597,00","588,50","604,90","586,20","1,49M","1,84%"
"29.09.2015","586,20","577,30","592,60","572,80","693,50K","1,54%"
"28.09.2015","577,30","597,00","597,00","577,20","623,93K","-2,65%"
"25.09.2015","593,00","603,00","615,00","590,00","1,11M","-0,84%"
"24.09.2015","598,00","612,00","613,10","594,40","1,14M","-2,37%"
"23.09.2015","612,50","604,90","618,30","601,00","1,10M","1,41%"
"22.09.2015","604,00","618,70","621,90","601,50","860,59K","-2,15%"
"21.09.2015","617,30","628,00","629,70","617,30","915,10K","-2,30%"
"18.09.2015","631,80","633,00","641,10","616,50","1,01M","-0,03%"
"17.09.2015","632,00","629,60","637,90","622,50","701,10K","0,54%"
"16.09.2015","628,60","630,60","632,70","624,00","1,34M","0,08%"
"15.09.2015","628,10","635,00","637,90","625,20","961,01K","-0,95%"
"14.09.2015","634,10","631,90","646,30","630,10","886,60K","0,65%"
"11.09.2015","630,00","626,60","634,00","623,40","669,86K","0,91%"
"10.09.2015","624,30","619,10","627,60","613,20","609,25K","0,53%"
"09.09.2015","621,00","624,00","630,00","620,10","692,06K","0,32%"
"08.09.2015","619,00","613,30","630,90","612,10","1,23M","1,29%"
"07.09.2015","611,10","605,20","613,80","603,30","540,32K","0,84%"
"04.09.2015","606,00","602,20","606,50","597,70","827,51K","0,63%"
"03.09.2015","602,20","610,00","610,00","598,40","1,12M","-0,63%"
"02.09.2015","606,00","612,90","615,70","605,00","1,42M","-0,66%"
"01.09.2015","610,00","626,60","627,60","608,10","1,34M","-3,63%"
"31.08.2015","633,00","611,20","633,00","606,10","924,69K","3,11%"
"28.08.2015","613,90","599,90","618,70","596,90","1,37M","2,40%"
"27.08.2015","599,50","585,90","604,90","582,00","1,20M","3,15%"
"26.08.2015","581,20","562,60","585,40","552,70","1,19M","3,73%"
"25.08.2015","560,30","568,00","576,90","556,30","1,22M","-1,22%"
"24.08.2015","567,20","558,00","571,00","541,10","2,10M","0,57%"
"21.08.2015","564,00","582,00","585,40","562,30","1,08M","-3,75%"
"20.08.2015","586,00","572,00","588,00","571,60","900,43K","2,50%"
"19.08.2015","571,70","582,00","588,40","567,60","940,24K","-2,11%"
"18.08.2015","584,00","581,00","584,00","572,60","606,02K","-0,07%"
"17.08.2015","584,40","591,90","592,20","576,00","766,54K","-1,07%"
"14.08.2015","590,70","592,00","599,00","590,40","1,00M","-0,52%"
"13.08.2015","593,80","596,10","599,60","584,50","1,05M","-0,62%"
"12.08.2015","597,50","591,70","597,50","590,50","536,43K","0,84%"
"11.08.2015","592,50","597,40","601,50","590,30","1,21M","-0,82%"
"10.08.2015","597,40","599,50","600,00","588,60","858,30K","-0,10%"
"07.08.2015","598,00","594,00","600,50","593,00","649,17K","0,79%"
"06.08.2015","593,30","587,40","599,00","586,00","1,35M","0,68%"
"05.08.2015","589,30","596,00","600,00","586,50","1,10M","-1,44%"
"04.08.2015","597,90","588,20","599,40","588,20","798,34K","1,70%"
"03.08.2015","587,90","589,00","595,60","586,20","925,50K","-0,52%"
"31.07.2015","591,00","574,00","591,00","572,10","1,30M","2,78%"
"30.07.2015","575,00","579,40","581,00","569,90","908,70K","-0,55%"
"29.07.2015","578,20","580,00","585,60","568,70","1,59M","0,21%"
"28.07.2015","577,00","564,50","583,40","564,50","1,12M","1,67%"
"27.07.2015","567,50","559,50","568,50","556,20","1,10M","1,43%"
"24.07.2015","559,50","565,00","572,20","557,70","1,15M","-1,27%"
"23.07.2015","566,70","569,20","570,50","561,30","659,42K","-0,49%"
"22.07.2015","569,50","564,00","569,50","560,00","975,56K","0,94%"
"21.07.2015","564,20","570,00","573,60","563,50","870,63K","-1,02%"
"20.07.2015","570,00","576,00","577,10","567,30","855,92K","-0,82%"
"17.07.2015","574,70","578,80","582,20","572,50","732,49K","-0,52%"
"16.07.2015","577,70","576,10","584,00","575,00","1,03M","-0,12%"
"15.07.2015","578,40","575,00","580,00","575,00","1,21M","0,12%"
"14.07.2015","577,70","572,10","579,20","566,60","1,56M","0,47%"
"13.07.2015","575,00","565,50","577,00","564,90","1,20M","1,68%"
"10.07.2015","565,50","563,50","566,00","561,10","799,48K","0,14%"
"09.07.2015","564,70","562,00","566,50","557,80","833,78K","0,62%"
"08.07.2015","561,20","555,40","562,20","545,00","1,13M","0,32%"
"07.07.2015","559,40","555,80","564,40","550,20","1,03M","0,32%"
"06.07.2015","557,60","547,90","557,60","546,50","577,69K","1,20%"
