"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2015","33,975","34,510","34,590","33,715","15,61M","-1,66%"
"29.12.2015","34,550","33,670","34,550","33,670","13,63M","2,60%"
"28.12.2015","33,675","33,935","33,985","33,505","6,21M","-0,71%"
"25.12.2015","33,915","34,000","34,060","33,840","3,69M","-0,09%"
"24.12.2015","33,945","34,200","34,205","33,935","7,56M","-0,16%"
"23.12.2015","34,000","34,205","34,490","33,920","18,75M","-0,51%"
"22.12.2015","34,175","33,870","34,285","33,870","8,29M","0,93%"
"21.12.2015","33,860","34,310","34,575","33,845","14,19M","-1,14%"
"18.12.2015","34,250","35,400","35,400","34,090","20,83M","-3,25%"
"17.12.2015","35,400","34,710","35,400","34,455","17,57M","2,03%"
"16.12.2015","34,695","34,410","34,880","34,320","13,08M","1,24%"
"15.12.2015","34,270","33,900","34,685","33,780","19,86M","1,41%"
"14.12.2015","33,795","33,940","34,150","33,355","18,47M","-0,69%"
"11.12.2015","34,030","34,220","34,280","33,825","13,51M","-0,77%"
"10.12.2015","34,295","34,275","34,655","34,010","22,43M","-0,01%"
"09.12.2015","34,300","34,050","34,540","34,040","18,93M","1,12%"
"08.12.2015","33,920","34,020","34,700","33,910","23,79M","-0,98%"
"07.12.2015","34,255","34,235","34,795","34,060","21,47M","0,29%"
"04.12.2015","34,155","35,050","35,635","33,815","30,93M","-2,13%"
"03.12.2015","34,900","34,070","35,190","33,970","32,32M","2,02%"
"02.12.2015","34,210","34,000","34,455","33,790","18,41M","0,62%"
"01.12.2015","34,000","33,770","34,000","33,360","25,01M","1,49%"
"30.11.2015","33,500","34,725","34,935","33,500","24,72M","-3,60%"
"27.11.2015","34,750","35,550","35,640","34,710","17,03M","-2,66%"
"26.11.2015","35,700","35,985","36,280","35,500","12,13M","-0,29%"
"25.11.2015","35,805","35,260","35,980","35,255","19,90M","1,57%"
"24.11.2015","35,250","36,350","36,535","34,800","27,87M","-3,00%"
"23.11.2015","36,340","34,920","36,775","34,800","36,03M","4,11%"
"20.11.2015","34,905","35,310","35,380","34,870","23,73M","-1,15%"
"19.11.2015","35,310","35,800","35,985","35,260","19,71M","-0,87%"
"18.11.2015","35,620","35,005","36,030","34,960","19,80M","2,06%"
"17.11.2015","34,900","34,805","35,320","34,760","32,23M","0,88%"
